HTS_Number,Full_Description,General_Rate_of_Duty,Special_Rate_of_Duty,Column_2_Rate_of_Duty,Additional_Duties
0105.15.00.00,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas: - Weighing not more than 185 g: - Guinea fowls",0.9¢ each,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",4¢ each,
0105.94.00.00,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas: - Other: - Chickens",2¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",17.6¢/kg,
0105.99.00.00,"Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas: - Other: - Other",2¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",17.6¢/kg,
0106.00.00.00,Other live animals:,,,,
0106.11.00.00,Other live animals: - Mammals: - Primates,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",15%,
0106.12.01.00,"Other live animals: - Mammals: - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",15%,
0106.13.00.00,Other live animals: - Mammals: - Camels and other camelids (Camelidae),Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",15%,
0106.14.00.00,Other live animals: - Mammals: - Rabbits and hares,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",15%,
0106.19.00.00,Other live animals: - Mammals: - Other:,68¢/head,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",$3/head,
0106.19.30.00,Other live animals: - Mammals: - Other: - Foxes,4.80%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",15%,
0106.19.91.00,Other live animals: - Mammals: - Other: - Other,Free,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",15%,
0106.19.91.20,Other live animals: - Mammals: - Other: - Other - Dogs,Free,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",15%,
0106.19.91.95,Other live animals: - Mammals: - Other: - Other - Other,Free,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",15%,
0106.20.00.00,Other live animals: - Reptiles (including snakes and turtles),Free,,15%,
0106.31.00.00,Other live animals: - Birds: - Birds of prey,1.80%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,
0106.32.00.00,"Other live animals: - Birds: - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",1.80%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,
0106.33.00.00,Other live animals: - Birds: - Ostriches; emus (Dromaius novaehollandiae),1.80%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,
0106.39.01.00,Other live animals: - Birds: - Other,1.80%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,
0106.41.00.00,Other live animals: - Insects: - Bees,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",15%,
0106.49.00.00,Other live animals: - Insects: - Other,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",15%,
0106.49.00.10,Other live animals: - Insects: - Other - Leaf cutter bee larvae,Free,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",15%,
0106.49.00.90,Other live animals: - Insects: - Other - Other,Free,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",15%,
0106.90.01.00,Other live animals: - Other,Free,,15%,
0106.90.01.10,Other live animals: - Other - Worms,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",15%,
0106.90.01.20,Other live animals: - Other - Bait (other than worms),Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",15%,
0106.90.01.80,Other live animals: - Other - Other,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)",15%,
0201.00.00.00,"Meat of bovine animals, fresh or chilled:",,,,
0201.10.00.00,"Meat of bovine animals, fresh or chilled: - Carcasses and half-carcasses:",,,,
0201.10.05.00,"Meat of bovine animals, fresh or chilled: - Carcasses and half-carcasses: - Described in general note 15 of the tariff schedule and entered pursuant to its provisions",4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg,
0201.10.05.10,"Meat of bovine animals, fresh or chilled: - Carcasses and half-carcasses: - Described in general note 15 of the tariff schedule and entered pursuant to its provisions - Veal",4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg,
0201.10.05.90,"Meat of bovine animals, fresh or chilled: - Carcasses and half-carcasses: - Described in general note 15 of the tariff schedule and entered pursuant to its provisions - Other",4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg,
0201.10.10.00,"Meat of bovine animals, fresh or chilled: - Carcasses and half-carcasses: - Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions",4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,
0201.10.10.10,"Meat of bovine animals, fresh or chilled: - Carcasses and half-carcasses: - Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions - Veal",4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,
0201.10.10.90,"Meat of bovine animals, fresh or chilled: - Carcasses and half-carcasses: - Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions - Other",4.4¢/kg,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,
0201.10.50.00,"Meat of bovine animals, fresh or chilled: - Carcasses and half-carcasses: - Other",26.40%,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.10%,
